EnrollmentID,StudentID,Department,EnrollDate,Status,FeedbackScore,StudentName,StudentEmail,PhoneNumber,City,State,Country,Gender,Age,PreviousCourse,Scholarship,PaymentStatus,EnrollmentType,SyllabusFeedback,Course ID
1,e3e70682-c209-4cac-a29f-6fbed82c07cd,Business,20-04-2025,Dropped,10,Kelly Evans,brandi35@hotmail.com,377-569-6996,Visakhapatnam,Andhra Pradesh,India,Other,25,Yes,Yes,Paid,Online,Average,CD02-AI
2,f728b4fa-4248-4e3a-8a5d-2f346baa9455,IT,31-12-2024,Completed,9,Tony Cooke,grobinson@garcia-mason.org,947-937-8798,Alappuzha,Kerala,India,Female,24,Yes,Yes,Paid,Offline,Average,CD03-ML
3,eb1167b3-67a9-4378-bc65-c1e582e2e662,IT,29-11-2024,Dropped,2,Brian Garcia,osalas@mora.info,483.951.7471x84342,Guntur,Andhra Pradesh,India,Male,26,Yes,No,Failed,Online,Average,CD02-AI
4,f7c1bd87-4da5-4709-9471-3d60c8a70639,Science,17-12-2024,Completed,7,Angela Chen,georgeanderson@hotmail.com,-3004,Vijayawada,Andhra Pradesh,India,Other,35,No,No,Failed,Online,Poor,CD04-DA
5,e443df78-9558-467f-9ba9-1faf7a024204,Arts,14-12-2024,Dropped,10,Michele Stone,jeffreysmith@gmail.com,(685)553-3699x418,Kozhikode,Kerala,India,Other,19,Yes,Yes,Pending,Online,Average,CD03-ML
6,23a7711a-8133-4876-b7eb-dcd9e87a1613,Arts,01-01-2024,Active,5,Crystal Davis,annechristensen@hotmail.com,001-585-033-2507,Thrissur,Kerala,India,Male,28,No,Yes,Failed,Offline,Good,CD05-FS
7,1846d424-c17c-4279-a3c6-612f48268673,Arts,02-10-2023,Active,2,Michael Norton,umoore@hardin.com,+1-684-705-7396x2349,Chennai,Tamil Nadu,India,Female,34,Yes,Yes,Pending,Online,Poor,CD06-CC
8,fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,Arts,22-05-2025,Active,5,Gregory Cameron,bmichael@weiss.net,+1-886-500-1862x6615,Mangalore,Karnataka,India,Other,27,Yes,No,Failed,Online,Good,CD01-DS
9,b4862b21-fb97-4435-8856-1712e8e5216a,Arts,08-10-2024,Active,1,Bryce Williams,aoconnor@hotmail.com,(937)383-7207,Trichy,Tamil Nadu,India,Other,21,No,Yes,Failed,Online,Poor,CD09-AT
10,259f4329-e6f4-490b-9a16-4106cf6a659e,Arts,25-10-2023,Completed,5,Steven Guzman,jscott@hotmail.com,438-991-2170,Chennai,Tamil Nadu,India,Male,43,Yes,Yes,Paid,Online,Poor,CD01-DS
11,12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,Science,07-02-2025,Active,9,Brian Solis,amydavis@mcgee-brown.org,(039)200-2028,Coimbatore,Tamil Nadu,India,Female,18,No,No,Failed,Offline,Poor,CD06-CC
12,5487ce1e-af19-422a-99b8-a714e61a441c,Science,17-05-2024,Active,2,Keith Solis,urobinson@burton-wilkerson.com,458-794-3990x00930,Nellore,Andhra Pradesh,India,Other,19,No,Yes,Failed,Online,Good,CD03-ML
13,5a921187-19c7-4df4-8f4f-f31e78de5857,Math,12-10-2023,Active,2,Amber Sims MD,jhawkins@mccullough.com,+1-439-948-6239x359,Kozhikode,Kerala,India,Male,19,Yes,No,Pending,Offline,Poor,CD06-CC
14,a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,Arts,22-02-2024,Dropped,4,Anthony Wilson,kristi03@hotmail.com,001-461-133-8502x706,Kochi,Kerala,India,Male,42,No,No,Failed,Offline,Good,CD01-DS
15,8d723104-f773-43c1-b458-a748e9bb17bc,Math,20-11-2023,Active,8,Justin Brown,jamesayers@yahoo.com,(791)535-6133x8153,Bangalore,Karnataka,India,Female,48,Yes,Yes,Pending,Online,Poor,CD06-CC
