SalesID,SalesPersonName,Region,LeadsGenerated,Conversions,Revenue,Month,Email,PhoneNumber,Age,ExperienceYears,Team,JoiningDate,TargetAchieved,CustomerSatisfaction,CommissionEarned,LastLogin,FeedbackComments,SalesChannel,Certifications,Course ID
1,Thomas Bell,East,52,11,5929.79,2024-07,ronnie47@garner.com,001-047-521-1261x7317,34,11,Gamma,2024-06-18,Yes,8,582.22,2025-02-16 11:22:00,Whether their natural view.,Online,Certified Seller,CD07-DO
2,Grace Hernandez,East,84,16,8885.56,2023-05,kenttorres@parker.info,163.713.1652,40,15,Gamma,2020-11-14,No,1,939.95,2025-05-09 13:46:17,Employee minute national easy manager.,Offline,None,CD05-FS
3,Cody Nguyen,East,48,36,4446.4,2024-07,christopher93@barrett-parker.com,(600)267-7774x48072,41,7,Gamma,2022-05-25,No,5,709.98,2025-05-22 18:07:07,Form generation cost tend.,Online,None,CD03-ML
4,Linda Cooper,East,90,47,7503.31,2022-01,kimberlyhammond@figueroa.biz,(255)609-8481,32,0,Beta,2024-04-13,No,4,172.51,2025-02-12 09:08:22,Become water couple understand look teach role.,Offline,None,CD04-DA
5,Rebekah Green,East,54,10,6853.35,2022-10,molinarebecca@ayala.com,001-012-729-4741x321,30,14,Gamma,2022-01-30,No,10,747.72,2025-01-29 10:21:48,Blood environment yeah catch want.,Hybrid,None,CD02-AI
6,Carolyn Johnson,West,34,31,5293.15,2023-08,smaxwell@hotmail.com,574.378.8019x932,50,20,Gamma,2022-09-03,Yes,8,282.89,2025-05-06 11:19:54,This daughter but someone list century address.,Hybrid,Elite Trainer,CD03-ML
7,Mr. Brian Hunt,North,33,46,4124.53,2023-07,zrodriguez@ray.com,+1-034-720-3488,22,13,Beta,2022-05-07,No,5,933.77,2025-05-25 11:35:28,Partner finish attorney amount young rest race mother.,Hybrid,None,CD03-ML
8,Robert Martinez,Central,91,49,9908.22,2023-04,kevin07@holt-conner.com,001-365-038-0691,33,13,Alpha,2023-03-16,No,6,169.12,2025-03-03 12:40:16,Think identify pull each feeling star.,Online,None,CD08-CS
9,Peter Baker,East,46,9,9240.36,2024-03,howarddavid@gonzales-hendrix.com,001-331-843-8870x125,30,15,Alpha,2022-02-01,Yes,1,556.64,2025-01-03 10:30:58,Source pull east time identify special husband.,Offline,Elite Trainer,CD09-AT
10,Mr. Christopher Tyler,South,78,22,4134.58,2024-03,qhicks@johnson.com,001-180-575-8551,33,15,Beta,2021-03-12,Yes,8,788.02,2025-06-07 22:04:43,Sign wind response media stuff represent.,Offline,Certified Seller,CD06-CC
