CourseName,Syllabus,Version,Duration,Weeks,Department,Level,Credits,CreatedDate,UpdatedDate,Instructor,InstructorEmail,Category,Language,Mode,Price,Discount,SeatsAvailable,EnrolledCount,Rating,ReviewCount,Country,State,City,Course ID
Data Science,"Data Science Fundamentals, Advanced Topics, Projects",2,22 weeks,22,CE,Beginner,6,21-10-2022,13-10-2024,Becky Dominguez,ojohnson@hotmail.com,Computer Science,English,Online,649.01,5.66,71,73,3.3,219,India,Andhra Pradesh,Kurnool,CD01-DS
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",2,17 weeks,17,CE,Intermediate,8,04-08-2023,06-12-2024,Cheryl Williams,zachary19@gmail.com,Engineering,Tamil,Hybrid,962.2,6.09,20,84,1.4,314,India,Kerala,Alappuzha,CD07-DO
Automation Testing,"Automation Testing Fundamentals, Advanced Topics, Projects",5,19 weeks,19,CE,Advanced,1,15-08-2023,29-09-2024,Lisa George,robertjones@long-andrade.com,Programming,Tamil,Hybrid,706.92,44.92,35,92,4.1,383,India,Kerala,Kozhikode,CD09-AT
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",2,22 weeks,22,EEE,Beginner,7,25-11-2022,06-06-2025,Edward Delgado,hawkinsamy@foster-morris.com,Technology,Tamil,Hybrid,809.03,42.84,42,81,4,280,India,Karnataka,Mangalore,CD02-AI
Artificial Intelligence,"Artificial Intelligence Fundamentals, Advanced Topics, Projects",4,20 weeks,20,CS,Intermediate,8,27-12-2023,28-10-2024,Savannah Stein,marywhite@holden.com,Technology,English,Offline,253.58,22.76,33,29,4.2,254,India,Kerala,Thiruvananthapuram,CD02-AI
DevOps,"DevOps Fundamentals, Advanced Topics, Projects",1,19 weeks,19,CS,Beginner,10,13-12-2022,22-02-2025,Joann Flores,weaverkirk@hotmail.com,Programming,English,Offline,847.59,28.62,68,6,2,103,India,Karnataka,Belgaum,CD07-DO
Cyber Security,"Cyber Security Fundamentals, Advanced Topics, Projects",3,20 weeks,20,ECE,Advanced,9,26-07-2024,26-05-2025,Denise Kennedy,joseph30@butler-wilson.biz,Technology,English,Offline,373.87,19.15,79,26,2.1,126,India,Kerala,Kochi,CD08-CS
Cloud Computing,"Cloud Computing Fundamentals, Advanced Topics, Projects",3,22 weeks,22,EEE,Advanced,4,30-04-2024,14-07-2025,Amy Green,xmartinez@vega-calhoun.info,Programming,English,Hybrid,276.46,24.96,48,40,3.5,61,India,Andhra Pradesh,Nellore,CD06-CC
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",4,17 weeks,17,ME,Beginner,3,07-01-2024,07-07-2025,Carrie Sexton,connerfrank@cook-armstrong.com,Programming,English,Online,632.46,22.53,84,92,1.4,64,India,Tamil Nadu,Madurai,CD03-ML
Machine Learning,"Machine Learning Fundamentals, Advanced Topics, Projects",5,24 weeks,24,CS,Intermediate,7,24-02-2024,27-11-2024,Angel Shaw,ubutler@hotmail.com,Computer Science,English,Offline,150.62,36.41,76,11,2.6,228,India,Karnataka,Mangalore,CD03-ML
