TrainerID,TrainerName,SessionsConducted,AvgFeedback,TrainerScore,ExperienceYears,Certifications,TrainerEmail,TrainerPhone,Department,TrainerType,LastSessionDate,TrainerRating,City,State,Country,Age,Availability,JoiningYear,Course ID
1,Edward Allison,33,9.99,65.48,20,Basic,vgill@hotmail.com,+1-699-277-2142x6125,IT,Part-Time,24-07-2025,2,Alappuzha,Kerala,India,38,Weekdays,2022,CD09-AT
2,Melinda Payne,32,4.12,99.2,12,Expert,sandra17@skinner-miller.com,(899)920-1846x5659,Science,Part-Time,08-07-2025,4,Chennai,Tamil Nadu,India,49,Weekdays,2019,CD02-AI
3,Natalie Hudson,5,8.4,79.63,9,Basic,fgarcia@yahoo.com,-10048,Business,Part-Time,28-03-2025,1,Mangalore,Karnataka,India,44,Weekdays,2017,CD09-AT
4,James Scott,52,3.66,54.68,15,Expert,samanthakelly@yahoo.com,919-442-2272,IT,Part-Time,19-11-2024,5,Thiruvananthapuram,Kerala,India,44,Weekends,2013,CD05-FS
5,Kelly Anderson,34,4.28,50.31,10,Advanced,tammy97@soto.com,(137)965-7369,Science,Part-Time,19-11-2024,1,Thiruvananthapuram,Kerala,India,57,Both,2013,CD07-DO
6,Dustin Clayton,91,4.73,74.29,10,Basic,jamesvasquez@ball.com,001-029-047-0581,Arts,Visiting,30-07-2024,2,Chennai,Tamil Nadu,India,39,Weekdays,2015,CD04-DA
7,Wendy Michael,35,1.46,96.06,5,Advanced,kellyadams@johnson-shields.com,686-709-2384,IT,Visiting,24-10-2024,4,Mangalore,Karnataka,India,36,Weekdays,2021,CD09-AT
8,Anthony Green DVM,38,5.05,87.97,6,Basic,jonathan60@hotmail.com,192-517-4693,Business,Part-Time,30-05-2025,3,Nellore,Andhra Pradesh,India,49,Weekdays,2024,CD09-AT
9,Jonathan King,19,5.75,93.04,2,Advanced,rogersjessica@yahoo.com,169.689.7402,Math,Part-Time,15-09-2024,5,Kochi,Kerala,India,43,Both,2015,CD05-FS
10,Katie Wright,56,1.69,73.99,13,Advanced,jmccoy@miller.net,220.144.6531,Arts,Visiting,27-01-2025,4,Chennai,Tamil Nadu,India,41,Weekdays,2021,CD02-AI
11,Kendra Diaz,78,8.86,89.21,12,Advanced,lstanton@martinez.net,896-439-1168,Arts,Part-Time,05-05-2025,2,Madurai,Tamil Nadu,India,43,Both,2011,CD01-DS
12,Arthur Gonzalez,97,8.49,84.25,17,Basic,melissasmith@frank.info,001-968-295-5494x1720,Arts,Full-Time,16-02-2025,5,Visakhapatnam,Andhra Pradesh,India,27,Weekends,2017,CD01-DS
13,Jeremy Collins,93,5.13,96.28,3,Advanced,jennifer62@lucas.com,087.939.9457,Arts,Full-Time,24-12-2024,2,Hubli,Karnataka,India,33,Weekends,2017,CD05-FS
14,Alan Morris MD,69,9.51,70.73,7,Expert,ianchen@gmail.com,937.482.1377,IT,Part-Time,10-09-2024,2,Coimbatore,Tamil Nadu,India,60,Weekends,2016,CD07-DO
15,William Miller,89,8.54,97.45,7,Basic,xmiller@gmail.com,016.647.0817,Arts,Full-Time,20-08-2024,1,Mangalore,Karnataka,India,26,Weekends,2016,CD06-CC
16,Jerry Chambers,14,4.08,70.46,13,Basic,steinjaime@leon.com,377.541.1356x0082,Arts,Full-Time,24-08-2024,2,Alappuzha,Kerala,India,48,Both,2014,CD01-DS
